comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts
66631d010000000005024850,2024-06-07-22:45:22,北京,666005e2000000000e0330e8,今天是中毒的第六天，根据评论区云南本地友友的提醒，这几天大量喝水（红糖水+电解质水+矿泉水），加上请假在家休养，这会感觉终于不那么晕了，感谢云南本地朋友的关心[派对R]，希望帖子也能警示一下跟我一样对毒菌子了解不清楚，侥幸心理的友友们[失望R],598121645e87e75cd414afe5,锅盖女士,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313m0801t1c0049n86hgm9bv5p69he3g?imageView2/2/w/120/format/jpg,10,,0,2024-06-29-10:53:45
666065c2000000001c01720c,2024-06-05-21:18:59,云南,666005e2000000000e0330e8,我们还没敢吃头水菌[笑哭R]外地朋友们居然就开始中毒了,644ba94d0000000029014f10,Lyna（孕中期）,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo311pffmuf0e0g5p2bl56qajoggvne538?imageView2/2/w/120/format/jpg,68,,0,2024-06-29-10:53:45
666063bf000000000502409d,2024-06-05-21:10:23,云南,666005e2000000000e0330e8,肯定是转来昆明治呀[笑哭R],57ca94a75e87e71bed686efc,17:15,https://sns-avatar-qc.xhscdn.com/avatar/5d99de222366730001ad56b0.jpg?imageView2/2/w/120/format/jpg,52,,0,2024-06-29-10:53:45
66605259000000001c017cb3,2024-06-05-19:56:09,云南,666005e2000000000e0330e8,喝点猪油红糖水吧,59c2b69251783a636f29c472,篠樂庄生,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo314f66lur6k3g49qovrr95h3i8dbuve0?imageView2/2/w/120/format/jpg,10,,0,2024-06-29-10:53:45
667f1996000000001303c173,2024-06-29-04:14:15,北京,666005e2000000000e0330e8,怎么样了小姐姐，把你三个视频都看了[哭惹R]我在北京，下个月去昆明，本来还想尝试下菌子火锅，算了,5d1697600000000010020494,拉拉队长,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo312kvmdtm7m605n8mitg4414kb8kgb2o?imageView2/2/w/120/format/jpg,0,,0,2024-06-29-10:53:45
667ecc6a0000000017013c8b,2024-06-28-22:44:59,日本,666005e2000000000e0330e8,我也想吃！！！,653446740000000004008e0b,我就是最最幸運的小可愛,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3118m6oqemk005p9k8pq113gb979pkn8?imageView2/2/w/120/format/jpg,0,,0,2024-06-29-10:53:45
667e523f0000000012026a48,2024-06-28-14:03:43,北京,666005e2000000000e0330e8,想去云南吃[笑哭R],59c497bc6a6a6919a2124fcb,番茄+7,https://sns-avatar-qc.xhscdn.com/avatar/5e9ee2a994dee10001b2666e.jpg?imageView2/2/w/120/format/jpg,1,,0,2024-06-29-10:53:45
667e31330000000017002d7d,2024-06-28-11:42:44,北京,666005e2000000000e0330e8,网友冲浪版…第一天如果催吐还吐不出来，不都是应该洗胃吗？喝活性炭继续吐,59db51a620e88f596072c540,CuZn,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3124bvipt425g49sl248qdha0clrhr6o?imageView2/2/w/120/format/jpg,0,,0,2024-06-29-10:53:45
6660a035000000001c0142ff,2024-06-06-01:28:21,云南,666005e2000000000e0330e8,炸这么干还中毒，是不是里面混了其他的菌子,591896c682ec391b1bd6b8b5,莹Mmi,https://sns-avatar-qc.xhscdn.com/avatar/5bae97c2e5a6fc0001a51f72.jpg?imageView2/2/w/120/format/jpg,12,,0,2024-06-29-10:53:45
66604549000000000502f2fa,2024-06-05-19:00:26,云南,666005e2000000000e0330e8,其实你当天去医院就该洗胃而不是拒绝洗胃。洗胃是最快的，虽然难受。,634401b8000000001901c4d8,作家秋李子,https://sns-avatar-qc.xhscdn.com/avatar/634401b8000000001901c4d8.jpg?imageView2/2/w/120/format/jpg,12,,0,2024-06-29-10:53:45
