comment_id,create_time,ip_location,aweme_id,content,likes,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,sub_comment_count,last_modify_ts,parent_comment_id
7384757802638967589,2024-06-26-18:31:58,山东,7384742625095585064,祝早日康复 另外 见手青是不是牛肝菌？？？,12,72592002821,MS4wLjABAAAAM-oEBKqi2ljS1x2PqxY3jMp-obtTFOP-IZBjdZacu5Q,2146872553,,,用户8739211382588,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_3795_3033762272.jpeg?from=2956013662,75,2024-06-29-10:59:48,0
7385714364894724876,2024-06-29-08:23:56,河北,7384742625095585064,北方人还是别尝试，北方医院没治疗菌子中毒的经验[捂脸][捂脸][我想静静][我想静静],0,81587983255,MS4wLjABAAAA53QNg4WxTzqctDyTM8NUArpQHjm8g61KzYH5KVnpKCw,918147079,,,fly fly,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_a59bee0c097a4a59a50a508103da2e33.jpeg?from=2956013662,0,2024-06-29-10:59:48,0
7385377213292725027,2024-06-28-10:35:37,云南,7384742625095585064,我不知道为什么会中毒，我吃了22年没啥事，看到中毒的我都想不通，,2,4230518218167584,MS4wLjABAAAAjwyl5YndskqnJNk4sDnOsoaZy4f-Lo5M76B7atgQMvk-OuTtV1rPkrJYd3T_08nK,3447076876,ZQ191158462,一只可可爱爱的小猫咪,脆脆梨🍐,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_410aee6caf35229ec86c8539a2f789d1.jpeg?from=2956013662,3,2024-06-29-10:59:48,0
7385454486208643874,2024-06-28-15:35:27,云南,7384742625095585064,对✓，真的伤神经，尤其外省的，可别瞎吃了。,2,83422646006,MS4wLjABAAAA9g5D8kgBzbG42icc6K4Kns6H78eAbk_7oC9Oh07RAes,832297856,,,RK,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_ocAAAUOracmIbCYAcAn41EGCDKh9DVegAJSASf.jpeg?from=2956013662,1,2024-06-29-10:59:48,0
7385707361782694667,2024-06-29-07:56:46,云南,7384742625095585064,云南本地吃菌的歌谣你们是没刷到过么？我们这里小孩都会唱，红伞伞白杆杆，吃了你就躺板板。就是有毒的菌能毒死人的，我们本地人敢吃见手青的都是勇者，你们外地人来了还大胆，敢尝试[赞],1,105946955050,MS4wLjABAAAADpsbwJVzuDdrrsfpxQAOLMIt9cS34YHicZo1XbqT5CE,1703624307,,,梦*✲ﾟ*,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_2d1e4000374900af506e8.jpeg?from=2956013662,0,2024-06-29-10:59:48,0
7385436019606913827,2024-06-28-14:23:48,广东,7384742625095585064,楼主您好，我想问一下，吃菌子时是不是喝酒了？或者吃菌子前三天，你是不是喝酒了？我现在怀疑你吃的药与酒精有过敏性反应,0,102512397453,MS4wLjABAAAA4VcjI5FF9RZnq6ZRv3fUFpHZXfnoXCqIQ4Rw6n-9Yz4,43550049616,43550049616,在虚伪的都市中寻找灵魂的归宿,算了吧算了吧,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_2025f2ede32e4a1bb6dd89ac814f2d0c.jpeg?from=2956013662,6,2024-06-29-10:59:48,0
7384743042438087424,2024-06-26-17:34:41,北京,7384592860005387547,友友们，发这个视频的本意是想借自己的这个经历提醒，不要因为贪图新鲜感盲目去尝试有毒野生菌！网络上一些营销号把菌子中毒美化的太好了，中毒是一件非常危险严肃的事，轻则上吐下泻，重则人没了，非要吃的话，可以吃一些无毒的菌，云南是一个很美丽的地方，以后有机会再去！有对我进行人身攻击希望帮我举报一下[流泪][流泪][流泪],4356,3978462902621675,MS4wLjABAAAAMMNgdarVRuQ2S_AQJ4J808IO2vBxM3blWeSfWbLLPR9v8JGelexXaHuedhEvip5C,43969202267,43969202267,"还没恢复好讲话有点慢(不喜欢的直接退出就好)
懂王，人身攻击，和不友好的评论都会被删掉
希望大家都身体健康，平平安安，请勿吃有毒野生菌~",炸毛的一一,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_0356d1800b4ee43f41141ec5aa56bada.jpeg?from=2956013662,146,2024-06-29-10:59:48,0
7384784294436471590,2024-06-26-20:14:43,云南,7384742625095585064,我们这边菌子还分山，比如我们这边山出的牛肝菌可以吃，换坐山出的就不能吃，我们都是自己找菌，倒是也没有出现过中毒，好像还和海拔有关系，高海拔有些地方牛肝菌都不能吃，只能吃鸡枞[捂脸],13,1345422552738696,MS4wLjABAAAAotY1aVfePvudxLC9MLO31RSclEyPm8vqQionf8HLf6kQlSejG_0DFkXBv4jHEdjR,3634107288,RRFM,,众甫㊍,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oEIzzBAOY6l1AC8OysnAhQAAhAN8OFAEagtfes.jpeg?from=2956013662,8,2024-06-29-10:59:48,0
7385752435635094313,2024-06-29-10:51:37,贵州,7384592860005387547,云南人经常吃的菌，他们不知道那些不能吃那些能吃吗[捂脸]，,0,84902601884,MS4wLjABAAAA6W2Icfmz284XM4fHxQkmoxveoE-wI1JYHSAH5vFoOEQ,875010234,,,～曦*🌻,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_oQTmCkfADOB82EfAPgkQSIAA94TQnAA7Ab2gtD.jpeg?from=2956013662,0,2024-06-29-10:59:48,0
7385748995911926566,2024-06-29-10:38:17,云南,7384742625095585064,作为一个本地人，七岁那年中毒应该是差点嘎了，依然不影响我现在还是很喜欢吃，但我不会刻意去吃不了解的，所以我不建议外地人吃，因为你们都不了解。,1,103806491635,MS4wLjABAAAAe1FP7y11B0_Jf3i9z_rgJSMfMBkgMSSc25iMadbo6W4,1371749533,,,树,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_6c39983a2e7c4deb9bf5d9d23d85a564.jpeg?from=2956013662,0,2024-06-29-10:59:48,0
